YEAR;MO;DY;HOUR;T
2022;1;13;6;-0.763333333
2022;1;13;7;-1.16
2022;1;13;8;-1.393333333
2022;1;13;9;-1.35
2022;1;13;10;-0.976666667
2022;1;13;11;0.405
2022;1;13;12;2.438333333
2022;1;13;13;4.956666667
2022;1;13;14;6.738333333
2022;1;13;15;7.008333333
2022;1;13;16;6.356666667
2022;1;13;17;5.243333333
2022;1;13;18;4.28
2022;1;13;19;4.148333333
2022;1;13;20;3.568333333
2022;1;13;21;3.205
2022;1;13;22;2.126666667
2022;1;13;23;2.186666667
2022;1;14;0;1.52
2022;1;14;1;0.775
2022;1;14;2;0.788333333
2022;1;14;3;0.133333333
2022;1;14;4;0.011666667
2022;1;14;5;0.206666667
2022;1;14;6;-0.335
2022;1;14;7;-0.356666667
2022;1;14;8;-0.273333333
2022;1;14;9;-0.075
2022;1;14;10;1.075
2022;1;14;11;3.168333333
2022;1;14;12;4.396666667
2022;1;14;13;6.783333333
2022;1;14;14;7.686666667
2022;1;14;15;7.615
2022;1;14;16;6.705
2022;1;14;17;5.435
2022;1;14;18;4.025
2022;1;14;19;3.053333333
2022;1;14;20;2.346666667
2022;1;14;21;1.991666667
2022;1;14;22;0.755
2022;1;14;23;-0.815
2022;1;15;0;-0.95
2022;1;15;1;-1.431666667
2022;1;15;2;-1.303333333
2022;1;15;3;-1.248333333
2022;1;15;4;-2.15
2022;1;15;5;-2.491666667
2022;1;15;6;-2.79
2022;1;15;7;-3.028333333
2022;1;15;8;-3.156666667
2022;1;15;9;-2.735
2022;1;15;10;-1.196666667
2022;1;15;11;0.181666667
2022;1;15;12;1.528333333
2022;1;15;13;4.916666667
2022;1;15;14;5.996666667
2022;1;15;15;5.546666667
2022;1;15;16;4.886666667
2022;1;15;17;3.095
2022;1;15;18;2.148333333
2022;1;15;19;2.906666667
2022;1;15;20;2.048333333
2022;1;15;21;2.66
2022;1;15;22;3.451666667
2022;1;15;23;1.771666667
2022;1;16;0;1.158333333
2022;1;16;1;0.69
2022;1;16;2;0.233333333
2022;1;16;3;0.341666667
2022;1;16;4;0.315
2022;1;16;5;0.553333333
2022;1;16;6;0.625
2022;1;16;7;0.763333333
2022;1;16;8;1
2022;1;16;9;1.191666667
2022;1;16;10;1.315
2022;1;16;11;1.545
2022;1;16;12;1.978333333
2022;1;16;13;2.386666667
2022;1;16;14;2.55
2022;1;16;15;2.601666667
2022;1;16;16;2.503333333
2022;1;16;17;2.316666667
2022;1;16;18;2.156666667
2022;1;16;19;2.01
2022;1;16;20;1.885
2022;1;16;21;1.701666667
2022;1;16;22;1.761666667
2022;1;16;23;1.835
2022;1;17;0;1.998333333
2022;1;17;1;2.271666667
2022;1;17;2;2.37
2022;1;17;3;2.575
2022;1;17;4;2.636666667
2022;1;17;5;2.995
2022;1;17;6;3.211666667
2022;1;17;7;3.38
2022;1;17;8;3.438333333
2022;1;17;9;3.581666667
2022;1;17;10;4.035
2022;1;17;11;4.323333333
2022;1;17;12;4.888333333
2022;1;17;13;5.283333333
2022;1;17;14;5.136666667
2022;1;17;15;5.038333333
2022;1;17;16;5.073333333
2022;1;17;17;5.088135593
2022;1;17;18;4.418333333
2022;1;17;19;4.566666667
2022;1;17;20;5.02
2022;1;17;21;5.038333333
2022;1;17;22;5.003333333
2022;1;17;23;5.016666667
2022;1;18;0;5.011666667
2022;1;18;1;5.01
2022;1;18;2;4.92
2022;1;18;3;4.888333333
2022;1;18;4;4.806666667
2022;1;18;5;4.796666667
2022;1;18;6;4.708333333
2022;1;18;7;4.555
2022;1;18;8;4.631666667
2022;1;18;9;4.796666667
2022;1;18;10;4.935
2022;1;18;11;5.28
2022;1;18;12;5.823333333
2022;1;18;13;6.808333333
2022;1;18;14;6.981666667
2022;1;18;15;6.906666667
2022;1;18;16;6.486666667
2022;1;18;17;5.976666667
2022;1;18;18;5.248333333
2022;1;18;19;4.453333333
2022;1;18;20;3.643333333
2022;1;18;21;2.628333333
2022;1;18;22;1.445
2022;1;18;23;1.003333333
2022;1;19;0;0.99
2022;1;19;1;1.31
2022;1;19;2;1.633333333
2022;1;19;3;1.823333333
2022;1;19;4;2.33
2022;1;19;5;2.375
2022;1;19;6;2.441666667
2022;1;19;7;2.501666667
2022;1;19;8;2.653333333
2022;1;19;9;2.821666667
2022;1;19;10;2.931666667
2022;1;19;11;2.991666667
2022;1;19;12;2.886666667
2022;1;19;13;2.85
2022;1;19;14;2.636666667
2022;1;19;15;2.686666667
2022;1;19;16;2.79
2022;1;19;17;2.866666667
2022;1;19;18;3.206666667
2022;1;19;19;3.661666667
2022;1;19;20;4.1
2022;1;19;21;4.451666667
2022;1;19;22;4.58
2022;1;19;23;4.17
2022;1;20;0;3.35
2022;1;20;1;2.483333333
2022;1;20;2;2.18
2022;1;20;3;2.138333333
2022;1;20;4;2.206666667
2022;1;20;5;2.34
2022;1;20;6;2.396666667
2022;1;20;7;2.388333333
2022;1;20;8;2.306666667
2022;1;20;9;2.085
2022;1;20;10;2.421666667
2022;1;20;11;2.728333333
2022;1;20;12;2.818333333
2022;1;20;13;2.923333333
2022;1;20;14;2.833333333
