YEAR;MO;DY;HOUR;P;T
2022.0;1.0;11.0;20.0;272.8135593220339;1.798333333
2022.0;1.0;11.0;21.0;241.0677966101695;1.166666667
2022.0;1.0;11.0;22.0;283.8135593220339;1.051666667
2022.0;1.0;11.0;23.0;269.2542372881356;0.43
2022.0;1.0;12.0;0.0;278.33898305084745;0.25
2022.0;1.0;12.0;1.0;271.0508474576271;0.34
2022.0;1.0;12.0;2.0;273.52542372881356;0.096666667
2022.0;1.0;12.0;3.0;277.9830508474576;0.181666667
2022.0;1.0;12.0;4.0;270.135593220339;0.296666667
2022.0;1.0;12.0;5.0;279.8813559322034;0.016666667
2022.0;1.0;12.0;6.0;273.91525423728814;0.591666667
2022.0;1.0;12.0;7.0;302.5593220338983;0.626666667
2022.0;1.0;12.0;8.0;391.4406779661017;0.048333333
2022.0;1.0;12.0;9.0;402.59322033898303;0.853333333
2022.0;1.0;12.0;10.0;390.3728813559322;1.561666667
2022.0;1.0;12.0;11.0;371.49152542372883;1.781666667
2022.0;1.0;12.0;12.0;380.0169491525424;1.71
2022.0;1.0;12.0;13.0;378.76271186440675;1.915
2022.0;1.0;12.0;14.0;363.45762711864404;1.885
2022.0;1.0;12.0;15.0;365.271186440678;1.896666667
2022.0;1.0;12.0;16.0;354.7118644067797;2.025
2022.0;1.0;12.0;17.0;297.59322033898303;2.191666667
2022.0;1.0;12.0;18.0;257.91525423728814;1.846666667
2022.0;1.0;12.0;19.0;243.98305084745763;2.04
2022.0;1.0;12.0;20.0;259.3050847457627;2.063333333
2022.0;1.0;12.0;21.0;244.20338983050848;1.818333333
2022.0;1.0;12.0;22.0;264.49152542372883;1.438333333
2022.0;1.0;12.0;23.0;250.76271186440678;1.22
2022.0;1.0;13.0;0.0;269.0;0.908333333
2022.0;1.0;13.0;1.0;251.91525423728814;0.638333333
2022.0;1.0;13.0;2.0;272.2881355932203;0.266666667
2022.0;1.0;13.0;3.0;257.22033898305085;-0.131666667
2022.0;1.0;13.0;4.0;273.6949152542373;-0.465
2022.0;1.0;13.0;5.0;258.77966101694915;-0.518333333
2022.0;1.0;13.0;6.0;276.1186440677966;-0.763333333
2022.0;1.0;13.0;7.0;304.9830508474576;-1.16
2022.0;1.0;13.0;8.0;376.98275862068965;-1.393333333
2022.0;1.0;13.0;9.0;418.23728813559325;-1.35
2022.0;1.0;13.0;10.0;389.4406779661017;-0.976666667
2022.0;1.0;13.0;11.0;363.35593220338984;0.405
2022.0;1.0;13.0;12.0;324.1525423728813;2.438333333
2022.0;1.0;13.0;13.0;308.89830508474574;4.956666667
2022.0;1.0;13.0;14.0;289.10169491525426;6.738333333
2022.0;1.0;13.0;15.0;303.1694915254237;7.008333333
2022.0;1.0;13.0;16.0;303.59322033898303;6.356666667
2022.0;1.0;13.0;17.0;244.08474576271186;5.243333333
2022.0;1.0;13.0;18.0;228.6949152542373;4.28
2022.0;1.0;13.0;19.0;266.3898305084746;4.148333333
2022.0;1.0;13.0;20.0;262.8474576271187;3.568333333
2022.0;1.0;13.0;21.0;244.77966101694915;3.205
2022.0;1.0;13.0;22.0;272.89830508474574;2.126666667
2022.0;1.0;13.0;23.0;244.52542372881356;2.186666667
2022.0;1.0;14.0;0.0;276.59322033898303;1.52
2022.0;1.0;14.0;1.0;251.74576271186442;0.775
2022.0;1.0;14.0;2.0;281.6949152542373;0.788333333
2022.0;1.0;14.0;3.0;280.33898305084745;0.133333333
2022.0;1.0;14.0;4.0;287.96610169491527;0.011666667
